team1,team2,toss_winner,toss_decision,winner
Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Mumbai Indians
Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders
Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,Deccan Chargers
Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils
Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,Royal Challengers Bangalore
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings
Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians
Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore
Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,Chennai Super Kings
Deccan Chargers,Kings XI Punjab,Kings XI Punjab,field,Deccan Chargers
Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals
Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore
Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,Deccan Chargers
Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,field,Kings XI Punjab
Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians
Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bangalore
Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,Rajasthan Royals
Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians
Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,Rajasthan Royals
Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,bat,Kolkata Knight Riders
Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Delhi Daredevils
Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals
